objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.2,10,10,10,0.7100509024129211,0.6161564845650228,0.6654322688467675,0.59581343134791
binary,auc,0.0,0.0,0.2,10,10,20,0.739109400477845,0.6315047038580085,0.6665169054213275,0.5951340612975601
binary,auc,0.0,0.0,0.2,10,10,50,0.781667472987305,0.6557171879086968,0.6589572363039095,0.5867989759124708
binary,auc,0.0,0.0,0.2,10,10,100,0.8220693491169114,0.6824865460094224,0.6492609404231079,0.5801514644110056
binary,auc,0.0,0.0,0.2,10,20,10,0.7075054926393921,0.6153860838218753,0.6668637838425345,0.5964121198376291
binary,auc,0.0,0.0,0.2,10,20,20,0.7344978475405378,0.6290203899420189,0.6700919708350894,0.6008501798234946
binary,auc,0.0,0.0,0.2,10,20,50,0.7780945784845509,0.6563658705356668,0.6632056813071584,0.5895647040464917
binary,auc,0.0,0.0,0.2,10,20,100,0.8135455345991381,0.6769221522852517,0.6501423089385633,0.5801017578188797
binary,auc,0.0,0.0,0.2,10,50,10,0.7054825928256704,0.6143847944313291,0.6667113430306707,0.5967689218020511
binary,auc,0.0,0.0,0.2,10,50,20,0.7298252652146492,0.626945838824489,0.6708794734515661,0.5977915616376704
binary,auc,0.0,0.0,0.2,10,50,50,0.7687833608726479,0.6487471566292647,0.6630297474742016,0.5915778290884818
binary,auc,0.0,0.0,0.2,10,50,100,0.8013377857586134,0.6707258038173013,0.653584268004939,0.5824819245732855
binary,auc,0.0,0.0,0.2,10,100,10,0.6999622149931418,0.6128973180449983,0.6668111242122348,0.5989455686370776
binary,auc,0.0,0.0,0.2,10,100,20,0.7223615207746761,0.6243946650377438,0.6698584254880214,0.5993062537183557
binary,auc,0.0,0.0,0.2,10,100,50,0.7593713215834043,0.6452949216555529,0.6636734413176715,0.5929437097618085
binary,auc,0.0,0.0,0.2,10,100,100,0.7885809266467886,0.6629986411754348,0.6537358058041493,0.5864176982693557
binary,auc,0.0,0.0,0.2,20,10,10,0.7086811698179846,0.6166860015008315,0.665442421455916,0.596446265042899
binary,auc,0.0,0.0,0.2,20,10,20,0.7386976170414502,0.6325055818578672,0.6678879664899853,0.5968718042681017
binary,auc,0.0,0.0,0.2,20,10,50,0.7819019471827536,0.6552048520624717,0.6601388666097753,0.5919927203788322
binary,auc,0.0,0.0,0.2,20,10,100,0.8200839810169835,0.6801796871311558,0.649921524065966,0.5787241954835897
binary,auc,0.0,0.0,0.2,20,20,10,0.7075507030795674,0.6162969206224017,0.666853922196531,0.5970935411119697
binary,auc,0.0,0.0,0.2,20,20,20,0.7360049792224647,0.6298148841788539,0.6684656640455217,0.5994005997553327
binary,auc,0.0,0.0,0.2,20,20,50,0.7789364448777922,0.6547029526708412,0.6594471829179422,0.586999472800058
binary,auc,0.0,0.0,0.2,20,20,100,0.8144064070025586,0.6772081337417225,0.6491317162448832,0.5806021667058237
binary,auc,0.0,0.0,0.2,20,50,10,0.7062094105840974,0.6155061214323749,0.6650533988541013,0.5959229386444514
binary,auc,0.0,0.0,0.2,20,50,20,0.7317058966836578,0.6296793801581142,0.668701812425553,0.5953174157849762
binary,auc,0.0,0.0,0.2,20,50,50,0.7718662252873628,0.6534083882321821,0.6646934013489094,0.5887148745152816
binary,auc,0.0,0.0,0.2,20,50,100,0.8038023694459908,0.6728033011319404,0.6534409954049452,0.5796123908354996
binary,auc,0.0,0.0,0.2,20,100,10,0.7007486757299488,0.6124799436167545,0.6670826937805785,0.5987796400920207
binary,auc,0.0,0.0,0.2,20,100,20,0.7247996161204898,0.625546178010343,0.6687486581630967,0.600522535847511
binary,auc,0.0,0.0,0.2,20,100,50,0.7601140845155365,0.6462926818114226,0.6642968111322078,0.5955920958019321
binary,auc,0.0,0.0,0.2,20,100,100,0.7909419376592733,0.6651912598072309,0.6550326505599181,0.5841061520125606
binary,auc,0.0,0.0,0.2,50,10,10,0.7086811698179846,0.6166860015008315,0.665442421455916,0.596446265042899
binary,auc,0.0,0.0,0.2,50,10,20,0.7386976170414502,0.6325055818578672,0.6678879664899853,0.5968718042681017
binary,auc,0.0,0.0,0.2,50,10,50,0.7819019471827536,0.6552048520624717,0.6601388666097753,0.5919927203788322
binary,auc,0.0,0.0,0.2,50,10,100,0.8200839810169835,0.6801796871311558,0.649921524065966,0.5787241954835897
